我不感到悲伤	我感到悲伤	我始终悲伤，不能自制	我太悲伤或不愉快，不堪忍受
我对将来并不失望	对未来我感到心灰意冷	我感到前景黯淡	我觉得将来毫无希望，无法改善
我没有感到失败	我觉得比一般人失败要多些	回首往事，我能看到的是很多次失败	我觉得我是一个完全失败的人
我从各种事件中得到很多满足	我不能从各种事件中感受到乐趣	我不能从各种事件中得到真正的满足	我对一切事情不满意或感到枯燥无味
我不感到有罪过	我在相当的时间里感到有罪过	我在大部分时间里觉得有罪	我在任何时候都觉得有罪
我没有觉得受到惩罚	我觉得可能会受到惩罚	我预料将受到惩罚	我觉得正受到惩罚
我对自己并不失望	我对自己感到失望	我讨厌自己	我恨自己
我觉得并不比其他人更不好	我要批判自己的弱点和错误	我在所有的时间里都责备自己的错误	我责备自己把所有的事情都弄坏了
我没有任何想弄死自己的想法	我有自杀想法，但我不会去做	我想自杀	如果有机会我就自杀
我哭泣与往常一样	我比往常哭得多	我一直要哭	我过去能哭，但要哭也哭不出来
和过去相比，我生气并不更多	我比往常更容易生气发火	我觉得所有的时间都容易生气	过去使我生气的事，一点也不能使我生气了
我对其他人没有失去兴趣	和过去相比，我对别人的兴趣减少了	我对别人的兴趣大部分失去了	我对别人的兴趣已全部丧失了
我作出决定没什么困难	我推迟作出决定比过去多了	我作决定比以前困难大得多	我再也不能作出决定了
觉得我的外表看上去并不比过去更差	我担心自己看上去显得老了，没有吸引力	我觉得我的外貌有些变化，使我难看了	我相信我看起来很丑陋
我工作和以前一样好	要着手做事，我需额外花些力气	无论做什么我必须努力催促自己才行	我什么工作也不能做了
我睡觉与往常一样好	我睡眠不如过去好	我比往常早醒1～2小时，难以再睡	我比往常早醒几个小时，不能再睡
我并不感到比往常更疲乏	我比过去更容易感到疲乏无力	几乎不管做什么，我都感到疲乏无力	我太疲乏无力，不能做任何事情
我的食欲和往常一样	我的食欲不如过去好	我的食欲差得多了	我一点也没有食欲了
最近我的体重并无很大减轻	我体重下降2.27千克以上	我体重下降5.54千克以上	我体重下降7.81千克以上
我对健康状况并不比往常更担心	我担心身体上的问题，如疼痛、胃不适或便秘	我很担心身体问题，想别的事情很难	我对身体问题如此担忧，以致不能想其他任何事情
我没有发现自己对性的兴趣最近有什么变化	我对性的兴趣比过去降低了	我对性的兴趣大大下降	我对性的兴趣已经完全丧失
